"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",118.9285,-20.45685,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",22,7,2015,"NatureMap","Poondano","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2468"
"Dasyurus hallucatus",118.586539,-20.880969,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",26,8,2014,"NatureMap","Indee Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2471"
"Dasyurus hallucatus",118.587993,-20.879231,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",25,8,2014,"NatureMap","Indee Station - Red Rock","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2472"
"Dasyurus hallucatus",118.5895,-20.80431,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",1,7,2015,"NatureMap","Indee station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2473"
"Dasyurus hallucatus",116.139303,-21.742565,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",7,8,2015,"NatureMap","28.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2474"
"Dasyurus hallucatus",118.585018,-20.879277,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",8,4,2013,"NatureMap","Indee Station - Red Rock","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2475"
"Dasyurus hallucatus",117.95167,-21.18073,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",19,10,2012,"NatureMap","Mallina Station","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2476"
"Dasyurus hallucatus",117.23862,-21.33311,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",9,12,2011,"NatureMap","Millstream - Python Pool","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2478"
"Dasyurus hallucatus",116.83534,-20.48424,"Cage/Elliot/Unspecified Trap",NA,1000,"PILBTFAUNA","GDA94",29,6,2012,"NatureMap","Dolphin Island - north","DPaW - Neil Thomas","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2481"
"Dasyurus hallucatus",116.163938,-21.773609,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",14,6,2015,"NatureMap","9.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2483"
"Dasyurus hallucatus",118.2207,-21.82402,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",18,7,2014,"NatureMap","Hooley Station","DPaW - NQP","Remote camera",NA,NA,NA,"certain","Record_2486"
"Dasyurus hallucatus",117.2394,-21.34571,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",4,8,2014,"NatureMap","Millstream National Park","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2487"
"Dasyurus hallucatus",117.9422,-21.20079,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",6,7,2015,"NatureMap","Mallina station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2491"
"Dasyurus hallucatus",116.835066,-20.483209,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",8,10,2015,"NatureMap","Dolphin Island","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2494"
