"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",118.671725,-20.913319,NA,"",100,"FAUNASURVEY","GDA94",16,8,2012,"NatureMap","RH Rail Ch70 Granite","JOHN SCANLON",NA,"Pilbara","SF008772-201210","SF008772","Certain","Record_2086"
"Dasyurus hallucatus",118.826117,-20.513968,NA,"",100,"FAUNASURVEY","GDA94",24,7,2012,"NatureMap","GRBC5","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2087"
"Dasyurus hallucatus",118.82588,-20.511696,NA,"",100,"FAUNASURVEY","GDA94",24,7,2012,"NatureMap","GRBC7","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2088"
"Dasyurus hallucatus",119.055003,-21.264063,NA,"",100,"FAUNASURVEY","GDA94",30,8,2014,"NatureMap","North Star Mine","ECOLOGIA ENVIRONMENT",NA,"North Star","SF009735-201501","SF009735","Certain","Record_2089"
"Dasyurus hallucatus",119.054578,-21.174968,NA,"",100,"FAUNASURVEY","GDA94",2,9,2014,"NatureMap","North Star Mine","ECOLOGIA ENVIRONMENT",NA,"North Star","SF009735-201501","SF009735","Certain","Record_2090"
"Dasyurus hallucatus",117.901075,-22.032934,NA,"",100,"FAUNASURVEY","GDA94",19,5,2014,"NatureMap","SLM NE Mc14","ECOLOGIA ENVIRONMENT",NA,"Solomon Mine","SF009811-201501","SF009811","Certain","Record_2091"
"Dasyurus hallucatus",117.87777,-22.05466,NA,"",100,"FAUNASURVEY","GDA94",8,5,2014,"NatureMap","SLM NE Mc18","ECOLOGIA ENVIRONMENT",NA,"Solomon Mine","SF009811-201501","SF009811","Certain","Record_2092"
"Dasyurus hallucatus",118.692212,-20.963032,NA,"",100,"FAUNASURVEY","GDA94",24,8,2014,"NatureMap","Mainline","ECOLOGIA ENVIRONMENT",NA,"Abydos","SF009957-201508","SF009957","Certain","Record_2093"
"Dasyurus hallucatus",116.249801,-22.201836,NA,"",100,"FAUNASURVEY","GDA94",NA,NA,NA,"NatureMap","URC003","RAPALLO/API",NA,"CARDO","SF008654-201303","SF008654","Certain","Record_2094"
"Dasyurus hallucatus",116.196981,-20.830085,NA,"n/a",100,"FAUNASURVEY","GDA94",6,5,2016,"NatureMap","MC056","DAMIEN CANCILLA",NA,"Cape Preston","SF010801_201610","SF010801","Certain","Record_2095"
"Dasyurus hallucatus",118.875448,-20.438751,NA,"",3000,"FAUNASURVEY","GDA94",13,5,2013,"NatureMap","Control West","JESSICA OATES",NA,"Poondano","SF009239-201401","SF009239","Certain","Record_2096"
"Dasyurus hallucatus",118.844903,-20.447974,NA,"",3000,"FAUNASURVEY","GDA94",13,5,2013,"NatureMap","Granite Outcrop","JESSICA OATES",NA,"Poondano","SF009239-201401","SF009239","Certain","Record_2097"
"Dasyurus hallucatus",118.925297,-20.455675,NA,"",3000,"FAUNASURVEY","GDA94",13,5,2013,"NatureMap","Poondano West","JESSICA OATES",NA,"Poondano","SF009239-201401","SF009239","Certain","Record_2098"
"Dasyurus hallucatus",117.242417,-21.334292,NA," ",100,"FAUNASURVEY","GDA94",29,4,2014,"NatureMap","Python Pool","LORNA HERNANDEZ SANTIN",NA,"Millstream Chichester National Park","SF009747-201502","SF009747","Certain","Record_2099"
"Dasyurus hallucatus",118.58547,-20.878054,NA," ",100,"FAUNASURVEY","GDA94",25,6,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2100"
"Dasyurus hallucatus",118.58547,-20.878054,NA," ",100,"FAUNASURVEY","GDA94",27,9,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2101"
"Dasyurus hallucatus",119.057892,-22.541415,NA,"PIT tag - 982000364797788",100,"FAUNASURVEY","GDA94",27,5,2016,"NatureMap","KQMB1-E18","DAN KAMIEN",NA,"Koodaideri","SF010827-201612","SF010827","Certain","Record_2102"
"Dasyurus hallucatus",118.658249,-21.149106,NA,"",100,"FAUNASURVEY","GDA94",25,5,2013,"NatureMap","Wodgina","OUTBACK ECOLOGY SERVICES",NA,"Pilbara WA","SF009265-201306","SF009265","Certain","Record_2103"
"Dasyurus hallucatus",118.651456,-21.193767,NA,"",100,"FAUNASURVEY","GDA94",25,5,2013,"NatureMap","Wodgina","OUTBACK ECOLOGY SERVICES",NA,"Pilbara WA","SF009265-201306","SF009265","Certain","Record_2104"
"Dasyurus hallucatus",118.671366,-21.166545,NA,"",100,"FAUNASURVEY","GDA94",25,5,2013,"NatureMap","Wodgina","OUTBACK ECOLOGY SERVICES",NA,"Pilbara WA","SF009265-201306","SF009265","Certain","Record_2105"
"Dasyurus hallucatus",118.651824,-21.193998,NA,"",100,"FAUNASURVEY","GDA94",25,5,2013,"NatureMap","Wodgina","OUTBACK ECOLOGY SERVICES",NA,"Pilbara WA","SF009265-201306","SF009265","Certain","Record_2106"
"Dasyurus hallucatus",118.843691,-20.437147,NA,"",100,"FAUNASURVEY","GDA94",23,7,2012,"NatureMap","QMC6","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2107"
"Dasyurus hallucatus",118.845028,-20.447703,NA,"",100,"FAUNASURVEY","GDA94",24,7,2012,"NatureMap","GOC3","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2108"
"Dasyurus hallucatus",116.091445,-21.639568,NA,"",100,"FAUNASURVEY","GDA94",12,12,2013,"NatureMap","Yarraloola","MORGAN O'CONNELL",NA,"Pilbara","SF009610-201508","SF009610","Certain","Record_2109"
"Dasyurus hallucatus",116.158967,-21.805052,NA,"",100,"FAUNASURVEY","GDA94",12,12,2013,"NatureMap","Yarraloola","MORGAN O'CONNELL",NA,"Pilbara","SF009610-201508","SF009610","Certain","Record_2110"
"Dasyurus hallucatus",119.062163,-22.561208,NA,"",100,"FAUNASURVEY","GDA94",30,3,2016,"NatureMap","KQMB3.M14-01 - Motion Camera","BIOTA - SYLVIE SCHMIDT",NA,"Koodaideri","SF010648-201608","SF010648","Certain","Record_2111"
"Dasyurus hallucatus",119.062163,-22.561208,NA,"",100,"FAUNASURVEY","GDA94",14,4,2016,"NatureMap","KQMB3.M14-01 - Motion Camera","BIOTA - SYLVIE SCHMIDT",NA,"Koodaideri","SF010648-201608","SF010648","Certain","Record_2112"
"Dasyurus hallucatus",119.062163,-22.561208,NA,"",100,"FAUNASURVEY","GDA94",30,4,2016,"NatureMap","KQMB3.M14-01 - Motion Camera","BIOTA - SYLVIE SCHMIDT",NA,"Koodaideri","SF010648-201608","SF010648","Certain","Record_2113"
"Dasyurus hallucatus",118.825831,-20.502853,NA,"",100,"FAUNASURVEY","GDA94",23,7,2012,"NatureMap","GC1A ","RAPALLO STAFF",NA,"POONDANO Port Hedland","SF008771-201209","SF008771","Certain","Record_2114"
