id,pop,lat,lon,Sex,Year,IBRA_SubRegion,Original_id
Dh_16.128,Pannawonica Yarraloola,-21.76917675,116.0154788,F,2015,Hamersley,16-128
Dh_16.129,Pannawonica Yarraloola,-21.78337997,116.156684,M,2015,Hamersley,16-129
Dh_16.132,Pannawonica Yarraloola,-21.82006597,116.108757,M,2015,Hamersley,16-132
Dh_16.134,Pannawonica Yarraloola,-21.7287199,115.9585818,F,2015,Hamersley,16-134
Dh_16.135,Pannawonica Yarraloola,-21.74159895,116.1405129,F,2015,Hamersley,16-135
Dh_16.137,Pannawonica Yarraloola,-21.842698,116.084481,M,2015,Hamersley,16-137
Dh_16.138,Pannawonica Yarraloola,-21.77895558,116.1451459,M,2015,Hamersley,16-138
Dh_16.139,Pannawonica Yarraloola,-21.809825,116.168154,F,2015,Hamersley,16-139
Dh_16.140,Pannawonica Yarraloola,-21.77439792,116.1643412,M,2015,Hamersley,16-140
Dh_16.166,Red Hill Chichester,-21.14192,116.22427,M,2015,Roebourne,16-166
Dh_16.249,Coolawanyah Station South,-21.691895,117.860076,F,2014,Chichester,16-249
Dh_16.254,Coolawanyah Station South,-21.689725,117.865248,F,2014,Chichester,16-254
Dh_16.266,Pannawonica Red Hill,-22.037695,116.509284,M,2012,Hamersley,16-266
Dh_16.267,Red Hill Hammersley Mid,-22.18236602,116.27203,F,2014,Hamersley,16-267
Dh_16.268,Red Hill Hammersley Mid,-22.18081403,116.273275,F,2014,Hamersley,16-268
Dh_16.269,Red Hill Hammersley Mid,-22.18097202,116.269725,M,2014,Hamersley,16-269
Dh_16.274,Mallina Station,-21.18300201,117.953743,F,2014,Chichester,16-274
Dh_16.278,Mt Dove Mine,-20.935592,118.463669,F,2014,Chichester,16-278
Dh_16.279,Mt Dove Mine,-20.935597,118.463889,F,2014,Chichester,16-279
Dh_16.318,Mt Florance Station,-21.77269598,117.918611,M,2014,Chichester,16-318
Dh_16.319,De grey Station,-20.29013604,119.105868,M,2014,Roebourne,16-319
Dh_16.320,De grey Station,-20.29253502,119.112099,F,2014,Roebourne,16-320
Dh_16.321,De grey Station,-20.29067097,119.10634,M,2014,Roebourne,16-321
Dh_16.322,Yarrie Station,-20.88284204,120.118579,M,2014,Chichester,16-322
Dh_16.323,Yarrie Station,-20.88316499,120.118278,M,2014,Chichester,16-323
Dh_16.324,Yarrie Station,-20.88387301,120.118,F,2014,Chichester,16-324
Dh_16.325,Yarrie Station,-20.88384703,120.118497,M,2014,Chichester,16-325
Dh_16.326,Yarrie Station,-20.88535602,120.120658,M,2014,Chichester,16-326
Dh_16.327,Yarrie Station,-20.88452102,120.118883,M,2014,Chichester,16-327
Dh_16.330,Indee Quarry 2,-20.87844003,118.584146,F,2014,Chichester,16-330
Dh_16.333,Indee Quarry 2,-20.88096902,118.585841,M,2014,Chichester,16-333
Dh_16.337,Indee Quarry 2,-20.87569202,118.584378,M,2014,Chichester,16-337
Dh_16.338,Indee Quarry 2,-20.87521099,118.58141,F,2014,Chichester,16-338
Dh_16.342,Indee Quarry 2,-20.87649602,118.587414,M,2014,Chichester,16-342
Dh_16.343,Indee Quarry 2,-20.8759061,118.5873215,F,2014,Chichester,16-343
Dh_16.346,Indee Quarry 2,-20.88196102,118.587351,M,2014,Chichester,16-346
Dh_16.347,Indee Quarry 2,-20.88096902,118.586539,F,2014,Chichester,16-347
Dh_16.348,Indee Quarry 2,-20.88130203,118.59039,M,2014,Chichester,16-348
Dh_16.859,Abydos Turner Yandee,-21.2504563,119.0518658,F,2015,Chichester,16-859
Dh_16.860,Abydos Turner Yandee,-21.25822331,119.0555477,M,2015,Chichester,16-860
Dh_16.861,Abydos Turner Yandee,-21.25799218,119.0552458,F,2015,Chichester,16-861
Dh_16.863,Abydos Turner Yandee,-21.24463569,119.0824378,F,2015,Chichester,16-863
Dh_16.866,Abydos Turner Yandee,-21.18800902,119.1037714,M,2015,Chichester,16-866
Dh_16.898,Yarrie Station,-20.88540397,120.11976,F,2016,Chichester,16-898
Dh_16.905,Red Hill Hammersley Mid,-22.18097697,116.273209,F,2016,Hamersley,16-905
Dh_16.906,Red Hill Hammersley Mid,-22.18259803,116.275602,M,2016,Hamersley,16-906
Dh_16.908,Red Hill Hammersley Mid,-22.18082098,116.268086,M,2016,Hamersley,16-908
Dh_17.052,Pannawonica Yarraloola,-21.73446816,116.1772623,F,2016,Hamersley,17-052
Dh_17.057,Pannawonica Yarraloola,-21.72046906,116.1744125,F,2016,Hamersley,17-057
Dh_17.074,Abydos Turner Yandee,-21.27137765,119.0539985,M,2017,Chichester,17-074
Dh_17.078,Abydos Turner Yandee,-21.18864538,119.10515,F,2017,Chichester,17-078
Dh_17.079,Abydos Turner Yandee,-21.28712192,119.0574259,M,2017,Chichester,17-079
Dh_17.088_MT,Abydos Turner Yandee,-21.27231872,119.0538477,F,2017,Chichester,17-088_MT
Dh_17.093,Abydos Turner Yandee,-21.25498924,119.0537614,M,2017,Chichester,17-093
