"id","pop","lat","lon","Sex","Year","IBRA_SubRegion","Original_id","UTMX","UTMY","CoordLocation","Buffer_1km","Buffer_2km","Buffer_5km","Buffer_10km","Buffer_15km","Buffer_20km"
"Dh_12.325","Abydos Turner Yandee",-21.1127222,119.1127222,"M",2012,"Chichester","12-325",719444.511830202,7663919.19855875,18,53,28,24,16,12,9
"Dh_12.331","McPhee Creek Mine",-21.6074722,120.0985833,"M",2012,"Chichester","12-331",820825.847553536,7607422.5697988,19,30,21,17,17,11,8
"Dh_12.339","McPhee Creek Mine",-21.5964444,120.1111389,"F",2012,"Chichester","12-339",822151.23521447,7608618.46893428,20,30,21,17,17,11,8
"Dh_12.385","Callawa",-20.6810278,120.3066111,"M",2012,"Chichester","12-385",844521.481577126,7709639.56357235,21,65,43,33,27,18,13
"Dh_12.387","Callawa",-20.6813611,120.3073611,"M",2012,"Chichester","12-387",844598.937208277,7709601.03523245,22,65,43,33,27,18,13
"Dh_12.390","Callawa",-20.6812778,120.3085556,"M",2012,"Chichester","12-390",844723.686982704,7709607.72285024,23,65,43,33,27,18,13
"Dh_12.391","Callawa",-20.6811111,120.3066667,"M",2012,"Chichester","12-391",844527.091154633,7709630.21496062,24,65,43,33,27,18,13
"Dh_12.393","Callawa",-20.6808056,120.3085,"M",2012,"Chichester","12-393",844718.957316839,7709660.16483526,25,65,43,33,27,18,13
"Dh_12.394","Cattle Nimingarra Shay",-20.4729167,120.1153056,"M",2012,"McLarty","12-394",825014.786806469,7733091.70805524,26,72,47,36,27,18,13
"Dh_12.395","Cattle Nimingarra Shay",-20.4738611,120.1156389,"F",2012,"McLarty","12-395",825047.593465847,7732986.41503875,27,72,47,36,27,18,13
"Dh_12.396","Nimingarra",-20.3910278,120.0384444,"F",2012,"McLarty","12-396",817158.298936188,7742314.5612808,28,74,50,40,27,18,13
"Dh_12.397","Nimingarra",-20.39375,120.0359444,"M",2012,"McLarty","12-397",816891.584737991,7742017.81435397,29,74,50,40,27,18,13
"Dh_12.399","Nimingarra",-20.3939722,120.0365278,"M",2012,"McLarty","12-399",816952.068403839,7741992.07187913,30,74,50,40,27,18,13
"Dh_12.400","Nimingarra",-20.3934722,120.0385278,"M",2012,"McLarty","12-400",817162.00176572,7742043.60059853,31,74,50,40,27,18,13
"Dh_12.401","Nimingarra",-20.3930833,120.0385833,"M",2012,"McLarty","12-401",817168.595957001,7742086.57713043,32,74,50,40,27,18,13
"Dh_12.402","Nimingarra",-20.3926667,120.0380278,"M",2012,"McLarty","12-402",817111.424730959,7742133.80280283,33,74,50,40,27,18,13
"Dh_12.403","Quarry Site 2a",-20.9193333,118.6853056,"M",2012,"Chichester","12-403",675264.702818798,7685859.38871433,34,59,35,28,24,15,9
"Dh_12.404","Quarry Site 2a",-20.9200556,118.6858611,"F",2012,"Chichester","12-404",675321.644637782,7685778.81745363,35,59,35,28,24,15,9
"Dh_12.406","Quarry Site 2a",-20.9201389,118.6841944,"M",2012,"Chichester","12-406",675148.181366532,7685771.41657103,36,59,35,28,24,15,9
"Dh_12.407","Quarry Site 2a",-20.9194444,118.6831944,"M",2012,"Chichester","12-407",675044.970420635,7685849.39470237,37,59,35,28,24,15,9
"Dh_12.410","Quarry Site 2a",-20.9574444,118.6961111,"M",2012,"Chichester","12-410",676344.026826094,7681628.3277652,38,57,36,28,24,15,9
"Dh_14.001","Dolphin Island",-20.49007,116.84913,"M",2012,"Roebourne","14-001",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.002","Dolphin Island",-20.49007,116.84913,"M",2012,"Roebourne","14-002",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.003","Dolphin Island",-20.49007,116.84913,"F",2012,"Roebourne","14-003",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.004","Dolphin Island",-20.49007,116.84913,"M",2012,"Roebourne","14-004",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.005","Dolphin Island",-20.49007,116.84913,"M",2012,"Roebourne","14-005",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.006","Dolphin Island",-20.49007,116.84913,"F",2012,"Roebourne","14-006",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.007","Dolphin Island",-20.49007,116.84913,"M",2013,"Roebourne","14-007",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.009","Dolphin Island",-20.49007,116.84913,"M",2013,"Roebourne","14-009",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.010","Dolphin Island",-20.49007,116.84913,"F",2013,"Roebourne","14-010",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.011","Dolphin Island",-20.49007,116.84913,"M",2013,"Roebourne","14-011",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.012","Dolphin Island",-20.49007,116.84913,"F",2013,"Roebourne","14-012",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_14.013","Dolphin Island",-20.49007,116.84913,"F",2013,"Roebourne","14-013",484267.610744211,7734278.78410119,39,73,48,39,29,19,14
"Dh_16.075","Meentheena CP",-21.35132899,120.475953,"M",2015,"Chichester","16-075",860563.212572024,7634983.57994057,40,36,25,21,13,13,10
"Dh_16.080","Poondano",-20.45580503,118.816961,"M",2015,"Chichester","16-080",689534.731957117,7737027.46278036,41,79,46,38,28,20,9
"Dh_16.084","Poondano",-20.448503,118.7738377,"F",2015,"Chichester","16-084",685044.002650692,7737885.13344614,42,80,46,38,28,20,9
"Dh_16.087","Poondano",-20.497562,118.8240509,"M",2015,"Chichester","16-087",690222.996326902,7732396.38675242,43,68,46,38,28,20,9
"Dh_16.088","Mt Florance Station",-21.77477896,117.911578,"F",2015,"Chichester","16-088",594244.603332384,7591823.38224024,44,21,14,14,11,10,6
